업종명,업소명,소재지(도로명),소재지전화
일반음식점,꽈배기앤닭강정,경기도 하남시 미사강변중앙로 180  힐스테이트 미사역 그랑파사쥬(11-1BL) 1층 1016호 (망월동),
일반음식점,낭만포차,경기도 하남시 수리북로13번길 6  1층 일부호 (덕풍동),
일반음식점,스시동해,경기도 하남시 미사강변중앙로170번길 10  신성프라자 3층 305호 (망월동),
일반음식점,미사 참숯불갈비,경기도 하남시 미사강변한강로 290-3  미사강변도시씨3단지 상가2동 1층 119호 (망월동),
일반음식점,불꾸러기,경기도 하남시 미사강변서로 45  상가307동 지1층 114호 (풍산동  미사강변동원로얄듀크),
일반음식점,처갓집양념치킨 북위례점,경기도 하남시 위례대로6길 20-2  위례 호반써밋 301동 1층 108호 (학암동),
일반음식점,마장동고기집 미사점,경기도 하남시 미사강변대로226번안길 17  뉴욕프라자 1층 105  106  107  108호 (망월동),
일반음식점,망월김밥,경기도 하남시 미사강변대로226번길 9  송하빌딩 1층 102호 (망월동),
일반음식점,하남 아트푸드2,경기도 하남시 신장로184번길 24  1층 일부호 (덕풍동),
일반음식점,보배반점 하남미사점,경기도 하남시 미사강변중앙로 11  두산 더프론트 미사 2층 202 203 204호 (풍산동),
일반음식점,탁,경기도 하남시 미사강변한강로 270-1  미사역 호반 써밋 201동 1층 1-184호 (망월동),
일반음식점,모토이시 하남 미사점,경기도 하남시 미사강변중앙로 180  힐스테이트 미사역 그랑파사쥬(11-1BL) 1층 1028  1060호 (망월동),
일반음식점,하남 인생게장,경기도 하남시 하남대로 1043-20  2층 205 206호 (풍산동),
일반음식점,올드몬트 베이글(The OLD MONT Bagel),경기도 하남시 감일중앙로 80  1091호 (감이동  감일 푸르지오 마크베르),
일반음식점,북촌골,경기도 하남시 미사대로 550  현대지식산업센터 한강미사 1층 0C01-0074호 (덕풍동),
일반음식점,참치정육점 닌자,경기도 하남시 하남대로784번길 28  1층 일부호 (신장동),
일반음식점,미사 숯불 갈비,경기도 하남시 미사강변중앙로158번길 27  이화미사타워 1층 101 102호 (망월동),
일반음식점,알커피(Rcoffee),경기도 하남시 신평로61번길 17  1층 일부호 (신장동),
일반음식점,초록e,경기도 하남시 미사강변중앙로 221  센트럴파크2 1층 106호 (망월동),
일반음식점,(주)더클래스골프,경기도 하남시 미사강변중앙로 11  두산 더프론트 미사 2층 218호 일부호 (풍산동),
일반음식점,돈미품 프리미엄삼겹(하남점),경기도 하남시 미사강변대로54번길 75  홍우프라자 2층 202호 일부호 (풍산동),
일반음식점,고려통닭,경기도 하남시 미사강변중앙로 189  에코브리지2 1층 117호 (망월동),
일반음식점,바른식탁,경기도 하남시 미사강변대로 52  미사강변블루 1층 112호 (풍산동),
일반음식점,에스에이치제이지점(휴식당),경기도 하남시 미사대로 510  한강미사 아이에스비즈 1층 120호 일부호 (덕풍동),
일반음식점,인생아구찜 미사점,경기도 하남시 미사강변중앙로 220  우성미사타워 1층 109호 (망월동),
일반음식점,큰집닭강정 위례점,경기도 하남시 위례대로6길 95  지1층 206호 (학암동  위례포레자이),
일반음식점,팔덕식당,경기도 하남시 미사강변북로30번길 102  1층 일부호 (망월동),
일반음식점,두번먹는 명인 김치찜,경기도 하남시 미사강변북로30번길 102  1층 일부호 (망월동),
일반음식점,30년 불멸의 닭발,경기도 하남시 미사강변북로30번길 102  1층 일부호 (망월동),
일반음식점,마린보이 코다리1번가(망월점),경기도 하남시 미사강변북로30번길 19  1층 (망월동),
일반음식점,포도 앤 보리,경기도 하남시 하남대로784번길 40-2  1층 일부호 (신장동),
일반음식점,한라맥주 미사신도시점,경기도 하남시 미사강변중앙로 164  미타워 1층 111호 (망월동),
일반음식점,준이네 숯불닭갈비,경기도 하남시 미사강변한강로 270-1  미사역 호반 써밋 201동 1층 1-186호 (망월동),
일반음식점,안동 해장국,경기도 하남시 하남대로 947  하남테크노밸리 U1 CENTER 1층 D-117  D-118b호 (풍산동),
일반음식점,주식회사 킹세라믹,경기도 하남시 천현로 27-1  1층 (신장동),
일반음식점,프리티플레저,경기도 하남시 미사강변중앙로 190  하남미사 롯데캐슬 스타 2층 216호 (망월동),
일반음식점,해피푸드,경기도 하남시 신장1로22번길 5  1층 일부호 (신장동),
일반음식점,빈타그런스 브루잉 바,경기도 하남시 미사강변중앙로 190  하남미사 롯데캐슬 스타 2층 253호 (망월동),
일반음식점,까망김밥,경기도 하남시 감일중앙로 80  1층 1014호 (감이동  감일 푸르지오 마크베르),
일반음식점,한스푸드,경기도 하남시 조정대로 150  아이테코 지1층 RB132 일부호 (덕풍동),
일반음식점,헌터스문,경기도 하남시 미사강변한강로 155  미사강변 SK V1 center 1층 115 116 117호 (망월동),
일반음식점,이찌방 라멘 VS 팟타이,경기도 하남시 미사대로 456  라파르코 1층 106호 (망월동),
일반음식점,85:15 파로이로피자(Paroiro Pizza&Pasta),경기도 하남시 미사강변대로 48  해든마루빌딩 7층 701~707호 (풍산동),
일반음식점,돌깨마을맷돌순두부 하남미사점,경기도 하남시 미사대로 550  현대지식산업센터 한강미사 2층 0C02-0064 0C02-0065호 (덕풍동),
일반음식점,하꼬초밥,경기도 하남시 감일로102번길 27  감일중앙프라자 1층 102호 (감일동),
일반음식점,구가네 닭강정 호프,경기도 하남시 미사강변한강로 270-1  미사역 호반 써밋 201동 1층 1-192호 (망월동),
일반음식점,베르온,경기도 하남시 미사강변중앙로 157  리버테라스 1층 112 113호 (망월동),
일반음식점,묵삼 미사역점,경기도 하남시 미사강변중앙로 218  성산타워 1층 110호 (망월동),
일반음식점,부자밀면,경기도 하남시 미사강변중앙로 190  하남미사 롯데캐슬 스타 1층 141호 (망월동),
일반음식점,노모어 피자 하남시청역점,경기도 하남시 하남대로 830-1  B1층 B113호 (덕풍동),
일반음식점,인간의 냉면,경기도 하남시 미사강변중앙로7번안길 25  u-테크밸리 1층 A-104호 (풍산동),
일반음식점,하남 터미널,경기도 하남시 신우실로 71  애플타워 1층 108호  109호 (감일동),
일반음식점,바나나,경기도 하남시 미사강변중앙로 164  미타워 2층 205호 (망월동),
일반음식점,이비온,경기도 하남시 동남로 385  2층 일부호 (감일동),
일반음식점,하이타치 하남점,경기도 하남시 신우실로 71  애플타워 1층 110호 (감일동),
일반음식점,덕풍회관,경기도 하남시 수리북로 10  1층 (덕풍동),
일반음식점,99갈비,경기도 하남시 미사대로 540  현대지식산업센터 한강미사2차(26BL) 근린생활시설동 1층 BC01-026  BC01-028~031호 (덕풍동),
일반음식점,손님상,경기도 하남시 미사강변동로 73  미사강변 노블레스 1층 122  123호 (망월동), 031- 795-6561
일반음식점,한신우동,경기도 하남시 미사강변중앙로 190  하남미사 롯데캐슬 스타 1층 120호 (망월동),
일반음식점,아담만두(미사점),경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 1층 1137호 (망월동),
일반음식점,펄 크라운,경기도 하남시 덕풍북로 37  지오빌딩 1층 일부호 (덕풍동),
일반음식점,짱이네,경기도 하남시 하남대로776번길 5  1층 일부호 (신장동),
일반음식점,방배동 할매쭈꾸미 하남미사점,경기도 하남시 미사강변한강로 295  하남미사 롯데캐슬 헤븐시티 Ⅱ 1층 136호 (망월동),
일반음식점,탐나는 피자 하남점,경기도 하남시 신장1로33번길 41  1층 일부호 (신장동),
일반음식점,윈터포레스트1224(Winter Forest 1224),경기도 하남시 검단산로 267  1층 (창우동),
일반음식점,해사랑 간장게장 생선구이,경기도 하남시 신장로 97  1층 일부호 (신장동),
일반음식점,비비드홀덤펍,경기도 하남시 미사강변동로 85  힐스테이트 에코 미사 2층 201 202호 (망월동),
일반음식점,스마일식당,경기도 하남시 위례학암로14번길 18  하남 위례 서미프라자 2층 201호 (학암동),
일반음식점,어웨이크,경기도 하남시 동남로438번길 102  1층 (감일동),
일반음식점,하이롤러 미사,경기도 하남시 미사강변중앙로204번길 11  마들렌 2층 201호 (망월동),
일반음식점,게이트브릿지,경기도 하남시 미사강변중앙로204번길 11  마들렌 2층 201호 일부 208호 (망월동),
일반음식점,대동면옥 올림픽공원직영점,경기도 하남시 감일남로 30  1층 (감일동),
일반음식점,류이젠,경기도 하남시 미사대로 750  스타필드 하남 2층 일부호 (신장동),
일반음식점,주양한식뷔페,경기도 하남시 하남대로 231  1층 일부호 (상산곡동),
일반음식점,하남식당,경기도 하남시 신평로 75  지1층 일부호 (신장동),
일반음식점,하이 노가리,경기도 하남시 미사강변중앙로 161  미사파크뷰 1층 116호 (망월동),
일반음식점,소소밀 베이커리(SoSoMeal Bakery),경기도 하남시 신장동로29번안길 19  1층 103호 일부호 (신장동),
일반음식점,나타 커피 하우스,경기도 하남시 하남유니온로 10  근린생활시설동 1층 101호 (신장동  하남 호반 써밋 에듀파크),
일반음식점,라이크어시네마 하남미사점,경기도 하남시 미사강변중앙로 226  우성르보아파크 1층 118호 (망월동),
일반음식점,간난이네,경기도 하남시 신장1로3번길 18  1층 일부호 (신장동),
일반음식점,주식회사 정도에프앤비,경기도 하남시 산곡동로 7  지1층  1층 (하산곡동),
일반음식점,조선부뚜막 하남감일점,경기도 하남시 감일백제로180번길 17  퀸즈에비뉴 122  123호 (감이동),
일반음식점,오고가 미사점,경기도 하남시 미사강변남로 87  스타파크 2층 205호 (망월동),
일반음식점,미사 메밀관,경기도 하남시 미사강변한강로 270-1  미사역 호반 써밋 201동 1층 제1-136호 137호 138호 (망월동),
일반음식점,한솥 미사역9번출구점,경기도 하남시 미사강변동로 81  미사역 큐브앤 타워 1층 108호 (망월동),
일반음식점,죽에 진심,경기도 하남시 미사강변중앙로 226  우성르보아파크 1층 132호 일부호 (망월동),
일반음식점,만월닭강정,경기도 하남시 신평로 44  1층 일부호 (신장동),
