,name,naverURL
28,슬로우캘리 하남미사점,"https://map.naver.com/p/search/%EC%8A%AC%EB%A1%9C%EC%9A%B0%EC%BA%98%EB%A6%AC%20%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90/place/1766113690?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
29,담아봄에,"https://map.naver.com/p/search/%EB%8B%B4%EC%95%84%EB%B4%84%EC%97%90/place/1070399943?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
30,바이브,"https://map.naver.com/p/search/%EB%B0%94%EC%9D%B4%EB%B8%8C/?c=15.00,0,0,0,dh"
31,제주민족,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EB%AF%BC%EC%A1%B1/?c=15.00,0,0,0,dh"
32,5301%(오삼공일퍼센트),"https://map.naver.com/p/search/5301%25%28%EC%98%A4%EC%82%BC%EA%B3%B5%EC%9D%BC%ED%8D%BC%EC%84%BC%ED%8A%B8%29/?c=15.00,0,0,0,dh"
33,송담추어탕,"https://map.naver.com/p/search/%EC%86%A1%EB%8B%B4%EC%B6%94%EC%96%B4%ED%83%95/?c=15.00,0,0,0,dh"
34,스타클럽 5 푸드풋팅(star club 5 food futting),"https://map.naver.com/p/search/%EC%8A%A4%ED%83%80%ED%81%B4%EB%9F%BD%205%20%ED%91%B8%EB%93%9C%ED%92%8B%ED%8C%85%28star%20club%205%20food%20futting%29/place/1818062308?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
35,소주물 하남시청점,"https://map.naver.com/p/search/%EC%86%8C%EC%A3%BC%EB%AC%BC%20%ED%95%98%EB%82%A8%EC%8B%9C%EC%B2%AD%EC%A0%90/place/1010200541?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
36,더피쉬워크샵,"https://map.naver.com/p/search/%EB%8D%94%ED%94%BC%EC%89%AC%EC%9B%8C%ED%81%AC%EC%83%B5/place/1734801134?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
37,아삭아삭,"https://map.naver.com/p/search/%EC%95%84%EC%82%AD%EC%95%84%EC%82%AD/?c=15.00,0,0,0,dh"
38,스텔라 떡볶이(경기하남미사점),"https://map.naver.com/p/search/%EC%8A%A4%ED%85%94%EB%9D%BC%20%EB%96%A1%EB%B3%B6%EC%9D%B4%28%EA%B2%BD%EA%B8%B0%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90%29/?c=15.00,0,0,0,dh"
39,다이닝원,"https://map.naver.com/p/search/%EB%8B%A4%EC%9D%B4%EB%8B%9D%EC%9B%90/?c=13.00,0,0,0,dh"
40,모심,"https://map.naver.com/p/search/%EB%AA%A8%EC%8B%AC/?c=15.00,0,0,0,dh"
41,한솥도시락 하남감일점,"https://map.naver.com/p/search/%ED%95%9C%EC%86%A5%EB%8F%84%EC%8B%9C%EB%9D%BD%20%ED%95%98%EB%82%A8%EA%B0%90%EC%9D%BC%EC%A0%90/place/1303205082?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
42,짜글이 생각,"https://map.naver.com/p/search/%EC%A7%9C%EA%B8%80%EC%9D%B4%20%EC%83%9D%EA%B0%81/?c=15.00,0,0,0,dh"
43,람스키친,"https://map.naver.com/p/search/%EB%9E%80%EC%8A%A4%ED%82%A4%EC%B9%9C?c=15.00,0,0,0,dh"
44,시크릿푸드,"https://map.naver.com/p/search/%EC%8B%9C%ED%81%AC%EB%A6%BF%ED%91%B8%EB%93%9C/?c=15.00,0,0,0,dh"
45,짬뽕관 하남미사점,"https://map.naver.com/p/search/%EC%A7%AC%EB%BD%95%EA%B4%80%20%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90/place/1824986812?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
46,얌얌??,"https://map.naver.com/p/search/%EC%96%8C%EC%96%8C%3F%3F/?c=15.00,0,0,0,dh"
47,하나참치&스시,"https://map.naver.com/p/search/%ED%95%98%EB%82%98%EC%B0%B8%EC%B9%98&%EC%8A%A4%EC%8B%9C/place/327808789?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
48,주덜트,"https://map.naver.com/p/search/%EC%A3%BC%EB%8D%9C%ED%8A%B8/place/1760129271?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
49,김그릭(Kim Greek),"https://map.naver.com/p/search/%EA%B9%80%EA%B7%B8%EB%A6%AD%28Kim%20Greek%29/?c=15.00,0,0,0,dh"
50,연족,"https://map.naver.com/p/search/%EC%97%B0%EC%A1%B1/place/1058532014?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
51,검단 김밥,"https://map.naver.com/p/search/%EA%B2%80%EB%8B%A8%20%EA%B9%80%EB%B0%A5/?c=15.00,0,0,0,dh"
52,와쿠와쿠,"https://map.naver.com/p/search/%EC%99%80%EC%BF%A0%EC%99%80%EC%BF%A0/?c=15.00,0,0,0,dh"
53,무궁화주택 하남미사점,"https://map.naver.com/p/search/%EB%AC%B4%EA%B6%81%ED%99%94%EC%A3%BC%ED%83%9D%20%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90/place/1513147336?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
54,꽈배기앤닭강정,"https://map.naver.com/p/search/%EA%BD%88%EB%B0%B0%EA%B8%B0%EC%95%A4%EB%8B%AD%EA%B0%95%EC%A0%95/?c=15.00,0,0,0,dh"
55,낭만포차,"https://map.naver.com/p/search/%EB%82%AD%EB%A7%8C%ED%8F%AC%EC%B0%A8/?c=15.00,0,0,0,dh"
56,스시동해,"https://map.naver.com/p/search/%EC%8A%A4%EC%8B%9C%EB%8F%99%ED%95%B4/?c=15.00,0,0,0,dh"
57,미사 참숯불갈비,"https://map.naver.com/p/search/%EB%AF%B8%EC%82%AC%20%EC%B0%B8%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84/place/1182419633?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
58,불꾸러기,"https://map.naver.com/p/search/%EB%B6%88%EA%BE%B8%EB%9F%AC%EA%B8%B0/place/1339638992?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
59,처갓집양념치킨 북위례점,"https://map.naver.com/p/search/%EC%B2%98%EA%B0%93%EC%A7%91%EC%96%91%EB%85%90%EC%B9%98%ED%82%A8%20%EB%B6%81%EC%9C%84%EB%A1%80%EC%A0%90/place/1578786655?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
60,마장동고기집 미사점,"https://map.naver.com/p/search/%EB%A7%88%EC%9E%A5%EB%8F%99%EA%B3%A0%EA%B8%B0%EC%A7%91%20%EB%AF%B8%EC%82%AC%EC%A0%90/place/1066699438?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
61,망월김밥,"https://map.naver.com/p/search/%EB%A7%9D%EC%9B%94%EA%B9%80%EB%B0%A5/?c=15.00,0,0,0,dh"
62,하남 아트푸드2,"https://map.naver.com/p/search/%ED%95%98%EB%82%A8%20%EC%95%84%ED%8A%B8%ED%91%B8%EB%93%9C2/?c=15.00,0,0,0,dh"
63,보배반점 하남미사점,"https://map.naver.com/p/search/%EB%B3%B4%EB%B0%B0%EB%B0%98%EC%A0%90%20%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90/place/1234472337?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
64,탁,"https://map.naver.com/p/search/%ED%83%81/?c=15.00,0,0,0,dh"
